27	14	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f54">p. 8</a>.	édition	base			1
28	14	Copie. Bibl. nat., Fonds Dupuy, n°350, f° 61 r°.		base			1
29	15	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f54">p. 8</a>.	édition	base			1
30	15	Imprimé dans les <cite>Additions</cite> aux <cite>Mémoires</cite> de <cite>Castelnau</cite>, t. III, p. 547,		base			1
31	16	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f55">p. 9</a>.	édition	base			1
32	16	Copie. Bibl. nat., Cinq cents Colbert, n° 367, f° 477.		base			1
33	17	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f55">p. 9</a>.	édition	base			1
34	17	Aut. Bibl. nat., Fonds français, n° 10240, f° 45.		base			1
35	18	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f56">p. 10</a>.	édition	base			1
36	18	Copie. Archives de Bayonne, série AA, registre 21.		base			1
37	19	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f56">p. 10</a>.	édition	base			1
38	19	Copie. Bibl. nat., Fonds Dupuy, n° 350, f° 59 r°.		base			1
39	20	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f57">p. 11</a>.	édition	base			1
40	20	Orig. Archives de Mantoue.		base			1
41	21	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f57">p. 11</a>.	édition	base			1
42	21	Imprimé dans les <cite>Additions</cite> aux <cite>Mémoires</cite> de <cite>Castelnau</cite>, t. III, p. 551.		base			1
43	22	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f58">p. 12</a>.	édition	base			1
44	22	Copie. Bibl. nat., Fonds français, n° 3300, f° 31.		base			1
45	23	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f60">p. 14</a>.	édition	base			1
46	23	Orig. Bibl. nat., Fonds français, n° 15905, f° 69.		base			1
47	24	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f61">p. 15</a>.	édition	base			1
48	24	Copie. Bibl. nat., Fonds français, n° 3300, f° 23.		base			1
49	25	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f64">p. 18</a>.	édition	base			1
50	25	Copie. Bibl. nat., Fonds français, n° 3300, f° 25.		base			1
51	26	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f67">p. 21</a>.	édition	base			1
52	26	Copie. Bibl. nat., Fonds français, n° 3300, f° 26 v°et suiv.		base			1
53	27	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f72">p. 26</a>.	édition	base			1
54	27	Orig. Bibl. nat., Fonds français, n° 15905, f° 72.		base			1
55	28	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f72">p. 26</a>.	édition	base			1
56	28	Copie. Bibl. nat., Fonds Dupuy, n° 350, f° 62.		base			1
57	29	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f73">p. 27</a>.	édition	base			1
58	29	Imprimé dans les <cite>Additions</cite> aux <cite>Mémoires</cite> de <cite>Castelnau</cite>, t. III, p. 554.		base			1
59	30	<cite><a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s">Lettres de Catherine de Médicis, tome 6 (1578-1579)</a></cite>, H. de la Ferrière, G. Baguenault de Puchesse et A. Lesort éd., Paris, 1897, <a href="https://gallica.bnf.fr/ark:/12148/bpt6k6227983s/f73">p. 27</a>.	édition	base			1
